date,fund,ticker,weight
2021-06-04,Combined Max-Sharpe,MS,0.09999999999999976
2021-07-06,Combined Max-Sharpe,MS,0.1
2021-08-04,Combined Max-Sharpe,MS,0.0983088634802543
2021-09-02,Combined Max-Sharpe,MS,0.1
2021-10-04,Combined Max-Sharpe,MS,0.09999999999999988
2021-11-02,Combined Max-Sharpe,MS,0.1
2021-12-02,Combined Max-Sharpe,MS,0.1
2022-01-03,Combined Max-Sharpe,MS,0.040173759424531164
2022-02-02,Combined Max-Sharpe,MS,0.1
2022-03-04,Combined Max-Sharpe,MS,0.06335325803220114
2022-05-04,Combined Max-Sharpe,MS,0.007121357686083795
2022-07-06,Combined Max-Sharpe,MS,0.007255793036048415
2022-08-04,Combined Max-Sharpe,MS,0.0008858963941695842
2022-09-02,Combined Max-Sharpe,MS,0.021948823535501007
2022-10-04,Combined Max-Sharpe,MS,0.021577651392999723
2022-12-02,Combined Max-Sharpe,MS,0.01633940489968237
2023-01-04,Combined Max-Sharpe,MS,0.0358283853998985
2023-02-03,Combined Max-Sharpe,MS,0.09999999999999998
2023-03-07,Combined Max-Sharpe,MS,0.1
2022-08-04,Combined Max-Sharpe,NEE,0.004287214248104951
2022-09-02,Combined Max-Sharpe,NEE,0.026293947702620852
2022-10-04,Combined Max-Sharpe,NEE,0.019925426289150443
2023-01-04,Combined Max-Sharpe,NEE,0.023351529154418994
2021-01-04,Combined Max-Sharpe,NEM,0.0999999999999998
2021-02-03,Combined Max-Sharpe,NEM,0.07008056095625559
2021-03-05,Combined Max-Sharpe,NEM,0.08328537268840017
2021-04-06,Combined Max-Sharpe,NEM,0.1
2021-05-05,Combined Max-Sharpe,NEM,0.06783741319306587
2021-06-04,Combined Max-Sharpe,NEM,0.09999999999999974
2021-07-06,Combined Max-Sharpe,NEM,0.09999999999999985
2021-08-04,Combined Max-Sharpe,NEM,0.0711846214327259
2021-09-02,Combined Max-Sharpe,NEM,0.006084411734824561
2021-10-04,Combined Max-Sharpe,NEM,0.018254485038193716
2021-11-02,Combined Max-Sharpe,NEM,0.02404956326172478
2021-12-02,Combined Max-Sharpe,NEM,0.053692191014507444
2022-01-03,Combined Max-Sharpe,NEM,0.1
2022-02-02,Combined Max-Sharpe,NEM,0.1
2022-03-04,Combined Max-Sharpe,NEM,0.1
2022-04-04,Combined Max-Sharpe,NEM,0.1
2022-05-04,Combined Max-Sharpe,NEM,0.09999999999999991
2022-06-03,Combined Max-Sharpe,NEM,0.1
2022-07-06,Combined Max-Sharpe,NEM,0.1
2022-08-04,Combined Max-Sharpe,NEM,0.005170465757354127
2021-01-04,Combined Max-Sharpe,NKE,0.09999999999999991
2021-02-03,Combined Max-Sharpe,NKE,0.050845950879991164
2021-07-06,Combined Max-Sharpe,NKE,0.05117340124839638
2021-08-04,Combined Max-Sharpe,NKE,0.06317222541276149
2021-09-02,Combined Max-Sharpe,NKE,0.03248004314240526
2021-11-02,Combined Max-Sharpe,NKE,0.01843938237394433
2021-12-02,Combined Max-Sharpe,NKE,0.021086667926002254
2021-06-04,Combined Max-Sharpe,NUE,0.03671207198728599
2021-07-06,Combined Max-Sharpe,NUE,0.011056011620947102
2021-08-04,Combined Max-Sharpe,NUE,0.029604243394119607
2021-09-02,Combined Max-Sharpe,NUE,0.06693865579344152
2021-10-04,Combined Max-Sharpe,NUE,0.009020483012328417
2021-11-02,Combined Max-Sharpe,NUE,0.01679140931687221
2021-12-02,Combined Max-Sharpe,NUE,0.003141975512535217
2022-01-03,Combined Max-Sharpe,NUE,0.06288872606774065
2022-02-02,Combined Max-Sharpe,NUE,0.035908544824686334
2022-03-04,Combined Max-Sharpe,NUE,0.056306977983029985
2022-04-04,Combined Max-Sharpe,NUE,0.05054920392999832
2022-05-04,Combined Max-Sharpe,NUE,0.09999999999999974
2022-06-03,Combined Max-Sharpe,NUE,0.054509100681860885
2022-07-06,Combined Max-Sharpe,NUE,0.03159744529299353
